pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911473.091153,307773908,2,0,3,6,51259
1777911473.0919693,307773908,2,0,4,8,72357
1777911473.0927155,307773908,2,1,4,8,30628
1777911473.0937076,307773908,2,0,10,20,78994
1777911473.0946786,307773908,2,1,10,20,39563
1777911473.1917937,307874313,2,0,3,6,51259
1777911473.1937737,307874313,2,0,4,9,72358
1777911473.1949553,307874313,2,1,4,9,30629
1777911473.196824,307874313,2,0,10,20,78998
1777911473.19832,307874313,2,1,10,20,39564
1777911473.2922764,307974820,2,0,3,6,51259
1777911473.2939463,307974820,2,0,4,8,72363
1777911473.2962332,307974820,2,1,4,9,30631
1777911473.2982154,307974820,2,0,10,20,79004
1777911473.2997613,307974820,2,1,10,20,39567
1777911473.3942688,308075274,2,0,3,6,51259
1777911473.3968298,308075274,2,0,4,9,72362
1777911473.3988395,308075274,2,1,4,8,30633
1777911473.401348,308075274,2,0,10,20,79005
1777911473.403387,308075274,2,1,10,21,39568
1777911473.4931612,308175824,2,0,3,6,51259
1777911473.4954202,308175824,2,0,4,9,72362
1777911473.4979045,308175824,2,1,4,8,30634
1777911473.499829,308175824,2,0,10,20,79001
1777911473.5017204,308175824,2,1,10,21,39569
1777911473.593774,308276489,2,0,3,6,51259
1777911473.5976193,308276489,2,0,4,8,72356
1777911473.599242,308276489,2,1,4,9,30630
1777911473.600664,308276489,2,0,10,21,78994
1777911473.601982,308276489,2,1,10,20,39566
1777911473.6952558,308377318,2,0,3,6,51259
1777911473.697283,308377318,2,0,4,8,72351
1777911473.6994164,308377318,2,1,4,8,30629
1777911473.7015648,308377318,2,0,10,21,78990
1777911473.7033973,308377318,2,1,10,21,39564
1777911473.7967248,308478142,2,0,3,6,51259
1777911473.799363,308478142,2,0,4,8,72338
1777911473.801047,308478142,2,1,4,8,30619
1777911473.8030655,308478142,2,0,10,20,78981
1777911473.8058498,308478142,2,1,10,21,39557
1777911473.897276,308579091,2,0,3,6,51259
1777911473.8997097,308579091,2,0,4,8,72331
1777911473.9022553,308579091,2,1,4,8,30613
1777911473.9044147,308579091,2,0,10,21,78976
1777911473.9059281,308579091,2,1,10,20,39547
1777911473.9969757,308679821,2,0,3,6,51259
1777911473.9991474,308679821,2,0,4,9,72329
1777911474.0007277,308679821,2,1,4,9,30611
1777911474.0028183,308679821,2,0,10,20,78974
1777911474.0047004,308679821,2,1,10,21,39550
1777911474.097845,308780274,2,0,3,6,51259
1777911474.0999606,308780274,2,0,4,8,72328
1777911474.1016974,308780274,2,1,4,8,30614
1777911474.103317,308780274,2,0,10,20,78968
1777911474.1046913,308780274,2,1,10,20,39547
