pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911502.2032466,336885888,2,0,3,6,51259
1777911502.2069209,336885888,2,0,4,8,74201
1777911502.2084978,336885888,2,1,4,8,31528
1777911502.2097845,336885888,2,0,10,21,79988
1777911502.2111106,336885888,2,1,10,21,39611
1777911502.3041563,336986374,2,0,3,6,51259
1777911502.3066154,336986374,2,0,4,8,74197
1777911502.308733,336986374,2,1,4,8,31525
1777911502.310011,336986374,2,0,10,21,79986
1777911502.3115797,336986374,2,1,10,21,39607
1777911502.4037738,337086918,2,0,3,6,51259
1777911502.4077253,337086918,2,0,4,9,74200
1777911502.4090035,337086918,2,1,4,9,31527
1777911502.4100661,337086918,2,0,10,20,79986
1777911502.4111586,337086918,2,1,10,20,39611
1777911502.5031316,337187377,2,0,3,6,51259
1777911502.504021,337187377,2,0,4,8,74202
1777911502.5046809,337187377,2,1,4,8,31532
1777911502.505389,337187377,2,0,10,20,79985
1777911502.505915,337187377,2,1,10,20,39612
1777911502.6050363,337287787,2,0,3,6,51259
1777911502.609021,337287787,2,0,4,8,74200
1777911502.610341,337287787,2,1,4,8,31528
1777911502.611605,337287787,2,0,10,21,79987
1777911502.614316,337287787,2,1,10,21,39611
1777911502.70493,337388228,2,0,3,6,51259
1777911502.7068038,337388228,2,0,4,8,74200
1777911502.7081852,337388228,2,1,4,8,31527
1777911502.7097952,337388228,2,0,10,21,79986
1777911502.7116847,337388228,2,1,10,20,39611
1777911502.805278,337488641,2,0,3,6,51259
1777911502.8070602,337488641,2,0,4,9,74200
1777911502.8084598,337488641,2,1,4,8,31530
1777911502.8097217,337488641,2,0,10,21,79986
1777911502.8111875,337488641,2,1,10,21,39611
1777911502.9056158,337589089,2,0,3,6,51259
1777911502.9065843,337589089,2,0,4,8,74201
1777911502.9073052,337589089,2,1,4,8,31526
1777911502.9080143,337589089,2,0,10,21,79988
1777911502.9085755,337589089,2,1,10,21,39611
1777911503.0062668,337689508,2,0,3,6,51259
1777911503.0102987,337689508,2,0,4,8,74202
1777911503.0122619,337689508,2,1,4,9,31528
1777911503.015975,337689508,2,0,10,21,79984
1777911503.0178773,337689508,2,1,10,21,39608
1777911503.107129,337790199,2,0,3,6,51259
1777911503.1089783,337790199,2,0,4,8,74202
1777911503.1123738,337790199,2,1,4,8,31529
1777911503.1154075,337790199,2,0,10,21,79988
1777911503.1169426,337790199,2,1,10,21,39611
1777911503.2086492,337891033,2,0,3,6,51259
1777911503.2139611,337891033,2,0,4,9,74198
1777911503.2184432,337891033,2,1,4,8,31526
1777911503.2228484,337891033,2,0,10,20,79984
1777911503.2300322,337891033,2,1,10,20,39609
1777911503.3080812,337991466,2,0,3,6,51259
1777911503.3097792,337991466,2,0,4,9,74201
1777911503.3113618,337991466,2,1,4,8,31528
1777911503.3135295,337991466,2,0,10,20,79986
1777911503.3151867,337991466,2,1,10,21,39610
1777911503.4087725,338092100,2,0,3,6,51259
1777911503.4111245,338092100,2,0,4,8,74201
1777911503.4132152,338092100,2,1,4,8,31524
1777911503.4148812,338092100,2,0,10,20,79986
1777911503.4168327,338092100,2,1,10,20,39607
1777911503.5092454,338192596,2,0,3,6,51259
