pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1778149548.4283915,217334541,0,0,4,9,41041
1778149548.4298162,217334541,0,1,4,8,76740
1778149548.4312606,217334541,0,0,10,20,38742
1778149548.4329631,217334541,0,1,10,20,74036
1778149548.4345057,217334541,1,0,0,1,5614
1778149548.4358642,217334541,1,0,1,3,23587
1778149548.4373105,217334541,1,0,4,9,41169
1778149548.4386961,217334541,1,1,4,9,76508
1778149548.4400737,217334541,1,0,10,20,39222
1778149548.441583,217334541,1,1,10,20,74337
1778149548.4430654,217334541,1,0,11,22,32015
1778149548.4445953,217334541,2,0,4,8,40220
1778149548.4460285,217334541,2,1,4,8,75569
1778149548.4474735,217334541,2,0,10,21,73319
1778149548.4490597,217334541,2,1,10,21,38472
1778149548.449838,217334541,3,0,4,9,75785
1778149548.450642,217334541,3,1,4,9,40106
1778149548.4515414,217334541,3,0,8,16,64933
1778149548.4526324,217334541,3,0,10,20,38068
1778149548.4539225,217334541,3,1,10,20,73225
1778149548.4549723,217436614,0,0,1,3,32752
1778149548.5302167,217436614,0,0,4,9,40982
1778149548.5310898,217436614,0,1,4,9,76588
1778149548.5318596,217436614,0,0,10,21,38739
1778149548.5326495,217436614,0,1,10,21,73939
1778149548.5334654,217436614,1,0,0,1,5614
1778149548.5342007,217436614,1,0,1,3,23587
1778149548.5349874,217436614,1,0,4,8,41058
1778149548.535748,217436614,1,1,4,9,76352
1778149548.5364792,217436614,1,0,10,20,39222
1778149548.5372963,217436614,1,1,10,20,74337
1778149548.5384471,217436614,1,0,11,22,32015
1778149548.5391128,217436614,2,0,4,9,40133
1778149548.5398893,217436614,2,1,4,9,75449
1778149548.5407283,217436614,2,0,10,20,73255
1778149548.5415905,217436614,2,1,10,21,38432
1778149548.5424464,217436614,3,0,4,9,75658
1778149548.5432057,217436614,3,1,4,8,40013
1778149548.5439532,217436614,3,0,8,16,64933
1778149548.5447493,217436614,3,0,10,20,38068
1778149548.5455616,217436614,3,1,10,20,73225
1778149548.546417,217538119,0,0,1,3,32752
1778149548.631638,217538119,0,0,4,9,40931
1778149548.6325061,217538119,0,1,4,9,76390
1778149548.6332724,217538119,0,0,10,21,38769
1778149548.6341,217538119,0,1,10,21,73818
1778149548.634882,217538119,1,0,0,1,5614
1778149548.6356206,217538119,1,0,1,3,23587
1778149548.6364036,217538119,1,0,4,8,41004
1778149548.6371636,217538119,1,1,4,9,76147
1778149548.637923,217538119,1,0,10,20,39222
1778149548.6387112,217538119,1,1,10,20,74337
1778149548.6395562,217538119,1,0,11,22,32015
1778149548.6403759,217538119,2,0,4,9,40023
1778149548.641168,217538119,2,1,4,9,75256
1778149548.6419954,217538119,2,0,10,20,73126
1778149548.6427913,217538119,2,1,10,20,38408
1778149548.6435752,217538119,3,0,4,9,75476
1778149548.6443465,217538119,3,1,4,8,39953
1778149548.6451085,217538119,3,0,8,16,64933
1778149548.6458619,217538119,3,0,10,20,38068
1778149548.6466835,217538119,3,1,10,20,73225
1778149548.6475258,217640743,0,0,1,3,32752
1778149548.7346203,217640743,0,0,4,9,40937
1778149548.7355812,217640743,0,1,4,9,76196
1778149548.7364607,217640743,0,0,10,21,38877
1778149548.737571,217640743,0,1,10,20,73712
1778149548.738358,217640743,1,0,0,1,5614
1778149548.7391045,217640743,1,0,1,3,23587
1778149548.7398622,217640743,1,0,4,9,41018
1778149548.7406132,217640743,1,1,4,9,76018
1778149548.741345,217640743,1,0,10,20,39222
1778149548.74219,217640743,1,1,10,20,74337
1778149548.7430615,217640743,1,0,11,22,32015
1778149548.7439296,217640743,2,0,4,9,40028
1778149548.7447212,217640743,2,1,4,9,75059
1778149548.7454772,217640743,2,0,10,20,73000
1778149548.7462635,217640743,2,1,10,20,38498
1778149548.7470622,217640743,3,0,4,9,75379
1778149548.7478087,217640743,3,1,4,9,39973
1778149548.748547,217640743,3,0,8,16,64933
1778149548.7492926,217640743,3,0,10,20,38068
1778149548.7500691,217640743,3,1,10,20,73225
1778149548.7508578,217743453,0,0,1,3,32752
1778149548.8365781,217743453,0,0,4,9,41025
1778149548.8373156,217743453,0,1,4,9,75976
1778149548.8380475,217743453,0,0,10,21,39033
1778149548.8388438,217743453,0,1,10,21,73577
1778149548.8396585,217743453,1,0,0,1,5614
1778149548.8403451,217743453,1,0,1,3,23587
1778149548.841072,217743453,1,0,4,9,41138
1778149548.8417923,217743453,1,1,4,9,75678
1778149548.842557,217743453,1,0,10,20,39222
1778149548.8432982,217743453,1,1,10,20,74337
1778149548.844071,217743453,1,0,11,22,32015
1778149548.844844,217743453,2,0,4,9,40110
1778149548.8455732,217743453,2,1,4,8,74853
1778149548.8462765,217743453,2,0,10,20,72907
1778149548.8471115,217743453,2,1,10,20,38693
1778149548.847902,217743453,3,0,4,9,74988
1778149548.84869,217743453,3,1,4,9,40042
1778149548.8494701,217743453,3,0,8,16,64933
1778149548.8502064,217743453,3,0,10,20,38068
1778149548.8506863,217743453,3,1,10,20,73225
1778149548.8511157,217845026,0,0,1,3,32752
1778149548.9383194,217845026,0,0,4,8,41096
1778149548.9391296,217845026,0,1,4,8,75702
1778149548.939946,217845026,0,0,10,21,39212
1778149548.9407244,217845026,0,1,10,21,73466
1778149548.9416664,217845026,1,0,0,1,5614
1778149548.9424095,217845026,1,0,1,3,23587
1778149548.9431787,217845026,1,0,4,8,41185
1778149548.94395,217845026,1,1,4,8,75315
1778149548.9446774,217845026,1,0,10,20,39729
1778149548.9455307,217845026,1,1,10,21,73628
1778149548.946363,217845026,1,0,11,22,32015
1778149548.9471915,217845026,2,0,4,8,40168
1778149548.9479454,217845026,2,1,4,8,74504
1778149548.9488611,217845026,2,0,10,21,72644
1778149548.9497375,217845026,2,1,10,21,38867
1778149548.950207,217845026,3,0,4,8,74701
1778149548.950749,217845026,3,1,4,8,40114
1778149548.9514709,217845026,3,0,8,16,64933
1778149548.9520137,217845026,3,0,10,21,38444
1778149548.9524403,217845026,3,1,10,20,73225
1778149548.952891,217947721,0,0,1,3,32752
1778149549.0413089,217947721,0,0,4,8,41179
1778149549.0421498,217947721,0,1,4,8,75352
1778149549.0425816,217947721,0,0,10,20,39436
1778149549.043051,217947721,0,1,10,21,73346
1778149549.0435019,217947721,1,0,0,1,5614
1778149549.0439167,217947721,1,0,1,3,23587
1778149549.044332,217947721,1,0,4,8,41258
1778149549.0447567,217947721,1,1,4,8,74995
1778149549.0451553,217947721,1,0,10,20,39923
1778149549.045577,217947721,1,1,10,20,73405
1778149549.0460303,217947721,1,0,11,22,32015
1778149549.0464544,217947721,2,0,4,8,40225
1778149549.046869,217947721,2,1,4,8,74096
1778149549.0472655,217947721,2,0,10,20,72432
1778149549.0477195,217947721,2,1,10,20,39035
1778149549.048146,217947721,3,0,4,8,74405
1778149549.0485406,217947721,3,1,4,8,40188
1778149549.048965,217947721,3,0,8,16,64933
1778149549.0493793,217947721,3,0,10,20,38656
1778149549.0498288,217947721,3,1,10,20,72280
1778149549.0502896,218049261,0,0,1,3,32752
1778149549.1428492,218049261,0,0,4,8,41269
1778149549.1437101,218049261,0,1,4,8,75024
1778149549.1444786,218049261,0,0,10,20,39630
1778149549.1452968,218049261,0,1,10,20,73042
1778149549.146134,218049261,1,0,0,1,5614
1778149549.1468859,218049261,1,0,1,3,23587
1778149549.1476228,218049261,1,0,4,8,41403
1778149549.1484096,218049261,1,1,4,8,74656
1778149549.1491985,218049261,1,0,10,20,40152
1778149549.150023,218049261,1,1,10,20,73171
1778149549.1508543,218049261,1,0,11,22,32015
1778149549.1516485,218049261,2,0,4,8,40336
1778149549.152673,218049261,2,1,4,8,73766
1778149549.1533363,218049261,2,0,10,21,72262
1778149549.1538527,218049261,2,1,10,20,39313
1778149549.1542914,218049261,3,0,4,8,74070
1778149549.1547093,218049261,3,1,4,8,40277
1778149549.1551123,218049261,3,0,8,16,64933
1778149549.1555383,218049261,3,0,10,20,38849
1778149549.1559987,218049261,3,1,10,20,72071
1778149549.1564534,218150932,0,0,1,3,32752
1778149549.244346,218150932,0,0,4,8,41327
1778149549.245221,218150932,0,1,4,8,74670
1778149549.2460032,218150932,0,0,10,20,39783
1778149549.2468705,218150932,0,1,10,20,72798
1778149549.2476642,218150932,1,0,0,1,5614
1778149549.2484014,218150932,1,0,1,3,23587
1778149549.2491162,218150932,1,0,4,8,41454
1778149549.2497277,218150932,1,1,4,8,74251
1778149549.2504704,218150932,1,0,10,20,40320
1778149549.2512836,218150932,1,1,10,20,72885
1778149549.2520745,218150932,1,0,11,22,32015
1778149549.2526517,218150932,2,0,4,9,40406
1778149549.25308,218150932,2,1,4,9,73369
1778149549.253483,218150932,2,0,10,21,71994
1778149549.2539253,218150932,2,1,10,21,39488
1778149549.2543547,218150932,3,0,4,8,73720
1778149549.2547746,218150932,3,1,4,8,40315
1778149549.2552118,218150932,3,0,8,16,64933
1778149549.2556233,218150932,3,0,10,20,38984
1778149549.2560663,218150932,3,1,10,20,71814
1778149549.256487,218253515,0,0,1,3,32752
1778149549.3472574,218253515,0,0,4,8,41329
