time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473129.7051725,2,1,10,21,62118
1777473129.7955334,2,0,4,8,87691
1777473129.7985857,2,0,10,21,25589
1777473129.8026345,2,1,4,8,49743
1777473129.80448,2,1,10,21,62119
1777473129.8877587,2,0,4,9,49748
1777473129.8918562,2,0,10,21,25289
1777473129.8961308,2,1,4,9,87691
1777473129.8986034,2,1,10,21,62117
1777473130.0000339,2,0,4,9,87225
1777473130.0049357,2,0,10,21,25288
1777473130.028814,2,1,4,9,87693
1777473130.031887,2,1,10,21,61598
1777473130.1060376,2,0,4,9,49740
1777473130.1104043,2,0,10,20,25287
1777473130.1167903,2,1,4,9,87222
1777473130.1195822,2,1,10,20,62118
1777473130.2060404,2,0,4,9,87223
1777473130.2105079,2,0,10,20,25287
1777473130.2168097,2,1,4,9,87691
1777473130.219629,2,1,10,20,62118
1777473130.3093374,2,0,4,8,49410
1777473130.3141022,2,0,10,21,25589
1777473130.3200686,2,1,4,9,87225
1777473130.3236015,2,1,10,21,62118
1777473130.4142709,2,0,4,9,49412
1777473130.4195728,2,0,10,21,25587
1777473130.4269915,2,1,4,9,87692
1777473130.429545,2,1,10,20,62119
1777473130.5152438,2,0,4,8,87693
1777473130.520266,2,0,10,20,25597
1777473130.528342,2,1,4,8,49739
1777473130.5313127,2,1,10,20,62118
1777473130.6188242,2,0,4,9,87225
1777473130.624869,2,0,10,20,25597
1777473130.6312025,2,1,4,9,49410
1777473130.6342514,2,1,10,20,61600
1777473130.7243898,2,0,4,9,87693
1777473130.7291439,2,0,10,21,25595
1777473130.7351794,2,1,4,8,49410
1777473130.7377641,2,1,10,20,62117
1777473130.8278334,2,0,4,8,87229
1777473130.8328474,2,0,10,20,25597
1777473130.8394177,2,1,4,8,49411
1777473130.8430934,2,1,10,20,62119
1777473130.9305642,2,0,4,8,87694
1777473130.9355946,2,0,10,20,25288
1777473130.942373,2,1,4,8,49411
1777473130.9461658,2,1,10,20,62119
1777473131.0325263,2,0,4,8,87228
1777473131.0372045,2,0,10,21,25596
1777473131.044143,2,1,4,8,49739
1777473131.0471458,2,1,10,21,62119
1777473131.1396916,2,0,4,9,87692
1777473131.1459196,2,0,10,21,25289
1777473131.1521544,2,1,4,9,49743
1777473131.154721,2,1,10,21,62119
1777473131.2454865,2,0,4,9,87225
1777473131.2504537,2,0,10,21,25587
1777473131.2579637,2,1,4,9,49414
1777473131.2613132,2,1,10,21,61598
1777473131.3479705,2,0,4,9,87225
1777473131.3532412,2,0,10,21,25590
1777473131.3611422,2,1,4,9,49743
1777473131.3637695,2,1,10,21,61598
1777473131.45035,2,0,4,8,87691
1777473131.4552853,2,0,10,21,25289
1777473131.4621968,2,1,4,8,49409
1777473131.465063,2,1,10,21,62118
1777473131.5555148,2,0,4,9,87691
1777473131.5618627,2,0,10,21,25596
1777473131.5682125,2,1,4,8,49410
1777473131.5720623,2,1,10,21,62119
1777473131.656067,2,0,4,8,87693
1777473131.664365,2,0,10,20,25595
1777473131.6743667,2,1,4,9,49742
1777473131.6783748,2,1,10,20,62117
1777473131.761619,2,0,4,9,49412
1777473131.7660651,2,0,10,20,25595
1777473131.7717755,2,1,4,9,87693
1777473131.7757323,2,1,10,20,62118
1777473131.8631377,2,0,4,8,49739
1777473131.8682961,2,0,10,21,25587
1777473131.874742,2,1,4,9,87225
1777473131.8782706,2,1,10,21,61595
1777473131.9693308,2,0,4,9,87691
1777473131.97454,2,0,10,20,25597
1777473131.9817982,2,1,4,9,49746
1777473131.9847856,2,1,10,20,62118
1777473132.0767186,2,0,4,8,87229
1777473132.082223,2,0,10,20,25597
1777473132.0881166,2,1,4,8,49410
1777473132.0915136,2,1,10,20,62119
1777473132.179093,2,0,4,8,87693
1777473132.1837518,2,0,10,21,25289
1777473132.190744,2,1,4,8,49743
1777473132.1954138,2,1,10,21,61607
1777473132.2807224,2,0,4,8,87693
1777473132.2856865,2,0,10,20,25597
1777473132.2928207,2,1,4,8,49740
1777473132.2976618,2,1,10,20,62117
1777473132.382627,2,0,4,9,49412
1777473132.3875191,2,0,10,21,25587
1777473132.3945084,2,1,4,8,49743
1777473132.3971007,2,1,10,21,62119
1777473132.484444,2,0,4,8,49744
1777473132.488767,2,0,10,21,25287
1777473132.4959848,2,1,4,8,87692
1777473132.4988472,2,1,10,20,62118
1777473132.5896661,2,0,4,8,49410
1777473132.595993,2,0,10,20,25597
1777473132.601951,2,1,4,9,87692
1777473132.6044564,2,1,10,21,62117
1777473132.69416,2,0,4,8,87692
1777473132.6987877,2,0,10,20,25286
1777473132.7049503,2,1,4,8,49744
1777473132.708631,2,1,10,20,62116
1777473132.7978058,2,0,4,9,87693
1777473132.8033402,2,0,10,20,25595
1777473132.8101187,2,1,4,8,49408
1777473132.8136113,2,1,10,20,62118
1777473132.9044554,2,0,4,8,87692
1777473132.908913,2,0,10,20,25286
1777473132.9160712,2,1,4,8,49410
1777473132.9185421,2,1,10,20,62115
1777473132.995969,2,0,4,8,87229
1777473132.9997585,2,0,10,20,25595
1777473133.0039651,2,1,4,8,49410
1777473133.0065982,2,1,10,20,61625
1777473133.1053572,2,0,4,9,49745
1777473133.110789,2,0,10,21,25586
1777473133.1166973,2,1,4,9,87693
1777473133.1195104,2,1,10,21,61596
1777473133.2121582,2,0,4,9,49414
1777473133.2193315,2,0,10,20,25287
1777473133.2273865,2,1,4,8,87229
1777473133.2306595,2,1,10,20,62118
1777473133.320262,2,0,4,9,49411
1777473133.3252017,2,0,10,21,25584
1777473133.3310418,2,1,4,9,87228
1777473133.333351,2,1,10,21,62115
1777473133.4165092,2,0,4,9,49414
1777473133.422218,2,0,10,21,25288
1777473133.4287481,2,1,4,9,87693
1777473133.4312491,2,1,10,21,62118
1777473133.5204663,2,0,4,9,49742
1777473133.5258002,2,0,10,20,25597
1777473133.5321383,2,1,4,9,87692
1777473133.5357547,2,1,10,20,62118
1777473133.6273074,2,0,4,9,49411
1777473133.6318843,2,0,10,20,25595
1777473133.6381109,2,1,4,8,87692
1777473133.642309,2,1,10,20,62118
1777473133.7257144,2,0,4,8,87228
1777473133.730923,2,0,10,20,25597
1777473133.7372856,2,1,4,8,49744
1777473133.7409236,2,1,10,20,62118
1777473133.834034,2,0,4,8,87693
1777473133.8409038,2,0,10,20,25595
1777473133.8476458,2,1,4,8,49408
1777473133.852885,2,1,10,20,61600
1777473133.9347782,2,0,4,8,87227
1777473133.9393015,2,0,10,20,25595
1777473133.9446294,2,1,4,8,49744
1777473133.9468186,2,1,10,20,62117
1777473134.036822,2,0,4,8,87693
1777473134.04197,2,0,10,20,25595
1777473134.0487068,2,1,4,9,49412
1777473134.0516584,2,1,10,20,62116
1777473134.1417542,2,0,4,8,87693
1777473134.1470587,2,0,10,20,25597
1777473134.1533058,2,1,4,9,49738
1777473134.1571984,2,1,10,20,61600
1777473134.2445366,2,0,4,8,87228
1777473134.2496588,2,0,10,20,25287
1777473134.2554417,2,1,4,8,49744
1777473134.2593553,2,1,10,20,62118
1777473134.347096,2,0,4,9,87693
1777473134.3522844,2,0,10,20,25597
1777473134.3588817,2,1,4,9,49746
1777473134.3618257,2,1,10,21,62118
1777473134.4507113,2,0,4,8,87691
1777473134.4560215,2,0,10,20,25595
1777473134.463411,2,1,4,8,49389
